mot	valeur
abandonner	-2
abandonné	-2
abandons	-2
enlevé	-2
enlèvement	-2
enlèvements	-2
Abhor	-3
abhorré	-3
odieuse	-3
Abhors	-3
Capacités	2
Capacité	2
à bord	1
absenté	-1
absents	-1
absolve	2
absolue	2
absolus	2
l'absolution;	2
absorbé	1
mauvais traitements	-3
abusés	-3
abus	-3
abusives	-3
Accepter	1
accepté	1
accepter	1
accepte	1
accident	-2
accidentelle	-2
accidentellement	-2
accidents	-2
accomplir	2
accompli	2
accompli	2
Inculpation	-2
accusations	-2
accuser	-2
accusés	-2
accusés	-2
accusant	-2
douleur	-2
réalisables	1
douleur	-2
acquittement	2
acquittement	2
acquitté	2
Acquiescement	2
acrimonieux	-3
actif	1
adéquat	1
admirez	3
admiré	3
admire	3
admirant	3
admettre	-1
admet	-1
admis	-1
avertissement	-2
avertis	-2
adopté	1
adopte	1
adorable	3
Adorez	3
adoré	3
les adorateurs	3
avancé	1
avantage	2
avantages	2
aventure	2
aventures	2
aventureux	2
affectés	-1
affection	3
affectueux	3
affligé	-1
Affronté	-1
peur	-2
Aggravation	-2
aggravé	-2
Aggravations	-2
aggravant	-2
Agression	-2
agressions	-2
agressif	-2
C'est vrai.	-2
Agonie	2
agonise	-3
agonisé	-3
agonise	-3
agonisant	-3
agoniser	-3
agonisé	-3
agonise	-3
agonisant	-3
d'accord	1
agréable	2
d ' accord	1
accord	1
d'accord	1
alarme	-2
Alarmée	-2
alarmiste	-2
alarmistes	-2
Hélas	-1
Alerte	-1
aliénation	-2
vivant	1
allergique	-2
permettre	1
seul	-2
étourdissements	2
émerveillé	2
étourdissements	2
incroyable	4
ambitieux	2
ambivalent	-1
Amuse-toi.	3
amusés	3
Amusement	3
Amusements	3
colère	-3
colères	-3
en colère	-3
angoisse	-3
angoisse	-3
animosité	-2
ennuyeuse	-2
l'ennui	-2
ennuyé	-2
ennuyant	-2
Les ennuis	-2
antagonistes	-2
contre la torture et autres peines ou traitements cruels, inhumains ou dégradants	-1
Prévoir	1
anxiété	-2
anxieuse	-2
apathique	-3
apathie	-3
C'est de l'apesanteur.	-3
apocalyptique	-2
s'il vous plaît	-1
excusés	-1
s'excuse	-1
s'excuser	-1
Excuse-moi.	-1
Excusés	-1
s'excuse	-1
s'excuser	-1
excuses	-1
consterné	-2
C'est épouvantable.	-2
un peu d'apaisement	2
apaisé	2
s'il vous plaît	2
s'apaiser	2
applaudir	2
applaudis	2
applaudissant	2
applaudit	2
applaudissements	2
Merci d'avoir apprécié	2
apprécié	2
apprécie	2
reconnaissant	2
Évaluation	2
appréhensif	-2
Agrément	2
approuvé	2
approuve	2
ardemment	1
arrestation	-2
arrêté	-3
arrestations	-2
arrogant	-2
shame	-2
honteux	-2
cul	-4
assassinat	-3
assassinats	-3
actif	2
Actifs	2
C'est quoi, ce bordel ?	-4
trou du cul	-4
étonnés	2
stupéfiant	3
stupéfait	3
stupéfiant	3
Stupéfiant	3
des astuces	3
attaque	-1
attaqué	-1
attaquer	-1
attaques	-1
attirer	1
attirés	1
Attirer	2
attraction	2
attractions	2
attire	1
Audacieux	3
Autorité	1
Avertissement	-1
averti	-1
avertis	-1
avid	2
éviter	-1
évité	-1
évite	-1
attendre	-1
attendu	-1
attend	-1
pour l ' octroi de l ' indemnité	3
décerné	3
Prix	3
génial	4
C'est affreux.	-3
embarrassant	-2
hache	-1
Axé	-1
soutenu	1
Soutien	2
dos	1
Mauvais	-3
badasse	-3
- C'est grave.	-3
Mise en liberté sous caution	-2
bambouzle	-2
en bambouzled	-2
bambous-zilles	-2
interdiction	-2
bannir	-1
failli	-3
banquier	-3
interdite	-2
Marché conclu	2
barrière	-2
Bâtard	-5
Salopes	-5
bataille	-1
batailles	-1
battus	-2
béatifique	3
coups et blessures	-1
beautés	3
belle	3
magnifiquement	3
embellir	3
petit	-2
diminués	-2
bien-aimés	3
prestation	2
avantages sociaux	2
bénéficié d'une aide	2
en faveur de l'Union européenne	2
en cas d'apparition d'une maladie	-2
endeuillés	-2
boreaux	-2
endeuillement	-2
le meilleur	3
trahir	-3
trahison	-3
trahi	-3
trahir	-3
trahit	-3
mieux	2
partialité	-1
biaisé	-2
gros	1
Salope	-5
Salopes	-5
Amère	-2
Amèrement	-2
bizarre	-2
bla bla	-2
blâme	-2
blâmé	-2
blâmes	-2
blâme	-2
bénir	2
bénit	2
bénédiction	3
aveugle	-1
béatitude	3
Bénédiction	3
d'une teneur en poids de matières grasses égale ou supérieure à 50 % en poids	2
bloc	-1
blockbuster	3
bloqué	-1
blocage	-1
blocs	-1
sanglant	-3
flou	-2
orgueilleux	-2
gras	2
hardiment	2
bombe	-1
Coup de pouce	1
boosté	1
stimuler	1
Coups de pouce	1
l'ennui	-2
s'ennuyer	-2
ennuyant	-3
ennuie-toi.	-2
ennuyé	-2
ennuis	-2
C'est gênant.	-2
boycottage	-2
boycotté	-2
boycottage	-2
boycotts	-2
lavage de cerveau	-3
courageux	2
percée	3
à couper le souffle	5
pour pots-de-vin	-3
lumineux	1
Les plus brillants	2
luminosité	1
brillant	4
vif	2
cassé	-1
cassé	-1
couvées	-2
outrage à l'ordre public	-2
Des conneries	-4
outrage à la pudeur	-2
brimades	-2
pulvérulent	-2
flottant	2
charge	-2
dont la charge est	-2
la charge de travail	-2
charges	-2
calme	2
calmé	2
calmant	2
calmes	2
Je ne supporte pas.	-3
annuler	-1
annulé	-1
annuler	-1
annule	-1
cancer	-1
capable	1
captivé	3
soins de santé	2
insouciants	1
Faites attention.	2
avec précaution	2
négligents	-2
soins	2
Encaissement	-2
Victimes	-2
catastrophe	-3
catastrophique	-4
prudent	-1
fêter	3
fêté	3
Célébrations	3
Célébration	3
Censeur	-2
censuré	-2
Censeurs	-2
certains	1
chagrine	-2
chagrinés	-2
défi à relever	-1
hasard	2
probabilités	2
chaos	-2
chaotique	-2
facturés	-3
Frais	-2
charme	3
charmant	3
Sans charme	-3
chasteté	-3
châtié	-3
châtes	-3
châtiant	-3
triche	-3
triché	-3
tricheur	-3
tricheurs	-3
tricheurs	-3
Salut, mon Dieu.	2
acclamé	2
joyeux	2
les applaudissements	2
impitoyable	-2
joies	2
Heureux.	3
chérie	2
chéris	2
chéries	2
chérissant	2
chic	2
enfantins	-2
refroidissement	-1
étouffement	-2
étouffé	-2
étourdissements	-2
étouffement	-2
clarifie	2
clarté	2
choc	-2
classe	3
Nettoyer	2
Nettoyeur	2
C'est clair.	1
Éliminé	1
clairement	1
C'est bon.	1
Intelligent	2
nuageux	-1
Sans indice	-2
Coq	-5
Enfoiré de coqs	-5
Enculés de bites	-5
C'est cocu.	-2
sous la contrainte	-2
effondrement	-2
effondré	-2
effondrements	-2
s'effondrer	-2
collision	-1
collisions	-1
collisions	-1
collision	-2
collisions	-2
de collusion	-3
Lutte contre la traite des êtres humains	-1
les combats	-1
comédie	1
confort	2
confortable	2
réconfortant	2
conforts	2
féliciter	2
félicités	2
commit	1
engagement	2
commits	1
engagés	1
s'engager	1
compassion	2
contrainte	1
compétent	2
concurrence	2
complaisant	-2
se plaindre	-2
plainte	-2
se plaint	-2
globale	2
conciliant	2
conciliées	2
conciliants	2
conciliant	2
condamner	-2
Condamnation	-2
condamné	-2
